Publishing Year,language_code,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,units sold,publisher_code,author_rating
1987.0,0.0,3.77,128244,0,4473.6,2684.16,6.99,172,640,7,2
2008.0,0.0,3.7,124812,0,5663.7,3398.22,8.99,174,630,8,2
2014.0,0.0,4.03,120008,0,608.85,0.0,0.99,177,615,0,2
1985.0,0.0,4.05,141299,0,603.9,362.34,0.99,178,610,0,2
2011.0,0.0,3.85,124837,0,1210.0,0.0,2.0,179,605,0,2
2008.0,0.0,4.0,110939,0,594.0,0.0,0.99,180,600,0,2
1869.0,0.0,3.86,121112,0,3540.25,0.0,5.95,181,595,0,2
2005.0,0.0,3.88,124786,0,3564.05,2138.43,5.99,181,595,6,2
1925.0,0.0,3.78,136327,0,1174.1,704.46,1.99,182,590,0,2
2009.0,0.0,3.81,92275,0,5200.65,3120.39,8.89,183,585,5,2
1998.0,0.0,3.87,131004,0,569.25,0.0,0.99,185,575,0,2
1985.0,0.0,4.1,124876,0,1134.3,0.0,1.99,186,570,0,2
1984.0,0.0,3.66,130219,0,1659.45,0.0,2.99,189,555,0,2
1872.0,0.0,3.9,117108,0,4434.45,2660.67,7.99,189,555,6,2
1994.0,0.0,3.95,129350,1,544.5,326.7,0.99,190,550,0,2
2003.0,0.0,3.69,102206,0,534.6,0.0,0.99,192,540,0,2
1953.0,0.0,4.19,105138,0,2154.6,0.0,3.99,192,540,0,2
2005.0,0.0,3.67,121373,1,1599.65,959.79,2.99,193,535,7,2
2007.0,0.0,4.18,143892,0,524.7,314.82,0.99,194,530,5,2
1996.0,0.0,4.34,123736,1,1024.85,614.91,1.99,197,515,0,2
2013.0,0.0,4.29,149702,0,1524.9,0.0,2.99,198,510,0,2
1603.0,0.0,3.89,135448,0,2014.95,1208.97,3.99,199,505,0,2
1949.0,0.0,3.49,132061,0,5433.18,3259.908,10.91,201,498,6,3
2007.0,0.0,3.99,93479,0,1483.04,0.0,2.99,202,496,0,2
2012.0,0.0,4.51,119915,0,2950.91,1770.546,6.01,205,491,3,1
1929.0,0.0,3.86,124665,0,2445.1,1467.06,4.99,206,490,1,2
2005.0,0.0,4.02,106211,0,483.12,289.872,0.99,207,488,0,2
2002.0,0.0,4.21,120004,0,2605.92,1563.552,5.34,207,488,6,2
2013.0,0.0,4.17,118910,0,5269.53,3161.718,10.91,210,483,6,2
1992.0,0.0,4.21,122524,1,2057.58,1234.548,4.26,210,483,4,2
2003.0,0.0,4.26,95213,0,476.19,0.0,0.99,211,481,0,2
2008.0,0.0,4.01,151095,0,475.2,285.12,0.99,212,480,0,2
1991.0,0.0,4.24,117483,0,1429.22,0.0,2.99,213,478,0,2
1997.0,0.0,4.18,120541,0,5253.22,3151.932,10.99,213,478,7,2
1995.0,0.0,3.73,119911,0,1423.24,0.0,2.99,214,476,0,2
1967.0,0.0,4.19,125668,0,2375.24,1425.144,4.99,214,476,1,2
1989.0,0.0,4.21,122225,0,470.25,0.0,0.99,215,475,0,2
1947.0,0.0,3.41,133264,0,470.25,282.15,0.99,215,475,0,3
1971.0,0.0,4.14,124467,0,1399.32,0.0,2.99,219,468,0,2
2009.0,0.0,3.51,145874,0,461.34,0.0,0.99,220,466,0,2
1994.0,0.0,3.8,131945,0,1393.34,0.0,2.99,220,466,0,2
1976.0,0.0,4.42,118951,0,460.35,276.21,0.99,221,465,5,1
1988.0,0.0,4.36,113855,0,455.4,273.24,0.99,224,460,7,2
1952.0,0.0,3.84,123073,0,455.4,0.0,0.99,224,460,0,2
2007.0,0.0,4.14,116260,0,3643.44,0.0,7.99,226,456,0,2
1971.0,5.0,4.13,135978,0,1815.45,1089.27,3.99,227,455,0,2
1982.0,0.0,4.34,105961,0,5000.45,3000.27,10.99,227,455,8,2
1953.0,5.0,4.33,124320,0,5195.91,3117.546,11.47,228,453,7,2
1998.0,5.0,3.29,113977,1,448.47,0.0,0.99,228,453,0,3
